id,name,type_line,power,toughness,colors,text,image,back,variants
"eld-5","Faerie","Token Creature — Faerie","1","1","U","Flying","https://cards.scryfall.io/normal/front/b/c/bcd82cb0-ff4b-4f4d-b3d0-3ac53883b099.jpg?1783932483","","https://cards.scryfall.io/normal/front/d/1/d1c0556e-ba3c-4a8e-b704-8eaa7c4dba1c.jpg?1783908591|https://cards.scryfall.io/normal/front/7/5/7561a5dd-56a3-41ee-a342-f7088930df0b.jpg?1783909759|https://cards.scryfall.io/normal/front/5/4/5458e078-0145-448f-8028-7b35bd4d4cc1.jpg?1783914993|https://cards.scryfall.io/normal/front/0/1/010ffef8-22ce-4d8f-80f0-6749f63ec4c2.jpg?1783916652"
"frf-4","Manifest","Creature","2","2","","(You can cover a face-down manifested creature with this reminder card. A manifested creature card can be turned face up any time for its mana cost. A face-down card can also be turned face up for its morph cost.)","https://cards.scryfall.io/normal/front/e/9/e9f896d4-34b4-407d-be7e-bf7a69aaf811.jpg?1783938662","","https://cards.scryfall.io/normal/front/0/e/0eb1e449-d7ce-4d87-a589-7ae5e3f0951d.jpg?1783903566|https://cards.scryfall.io/normal/front/0/1/01104ab1-84e1-4c78-853d-637c6554bdf9.jpg?1783909260|https://cards.scryfall.io/normal/front/d/4/d4c95eac-9f21-408a-8f60-f5cba79b6a8f.jpg?1783911668|https://cards.scryfall.io/normal/front/7/b/7b010eeb-1304-4e0b-9eff-3e4561b67396.jpg?1783912611"
"eld-16","Food","Token Artifact — Food","","","","{2}, {T}, Sacrifice this token: You gain 3 life.","https://cards.scryfall.io/normal/front/1/3/13e8f518-1c0d-4c01-a397-71481839d02b.jpg?1783932478","","https://cards.scryfall.io/normal/front/3/9/39389acc-cfa7-4a44-9d46-45be7dd72564.jpg?1783902797|https://cards.scryfall.io/normal/front/d/a/da1fca2e-4ea7-4c5f-bd58-f9529dfb6f37.jpg?1783903567|https://cards.scryfall.io/normal/front/e/2/e2b62092-57df-4d95-b2b9-961794e7c20b.jpg?1783904003|https://cards.scryfall.io/normal/front/6/f/6fb7cf0b-48d1-4a35-be63-a331987400de.jpg?1783904740|https://cards.scryfall.io/normal/front/1/1/110f41a6-1ca5-463e-8a6d-fdf021842b43.jpg?1786586778|https://cards.scryfall.io/normal/front/1/7/174eb62b-b02a-4533-8822-eacc9dcc0a20.jpg?1786586772|https://cards.scryfall.io/normal/front/2/7/276dedb8-3d41-499c-8804-bb1471fcb06f.jpg?1786586750"
"tla-8","Ally","Token Creature — Ally","1","1","W","","https://cards.scryfall.io/normal/front/0/1/01439983-8394-4a0c-9e9e-92a3f1927fe3.jpg?1783904746","","https://cards.scryfall.io/normal/front/3/f/3f9ab0ca-fe08-4d90-9c54-3137620647cb.jpg?1783904747|https://cards.scryfall.io/normal/front/b/5/b52bae4c-3831-442a-a944-b1f3548dbd39.jpg?1783904746|https://cards.scryfall.io/normal/front/c/a/cae9c13e-fda2-4591-bd52-888d12194e4d.jpg?1783904747|https://cards.scryfall.io/normal/front/f/8/f842c52a-04b6-4625-ba58-45b043ada340.jpg?1783904747"
"cn2-1","The Monarch","Card","","","","At the beginning of your end step, draw a card. Whenever a creature deals combat damage to you, its controller becomes the monarch.","https://cards.scryfall.io/normal/front/4/0/40b79918-22a7-4fff-82a6-8ebfe6e87185.jpg?1783937275","","https://cards.scryfall.io/normal/front/1/1/11608fa5-2c53-4008-ad82-555380f5e6f1.jpg?1789563254|https://cards.scryfall.io/normal/front/f/c/fca6ceed-a7d3-47a2-bb0d-7582e596c1f6.jpg?1788866319|https://cards.scryfall.io/normal/front/f/6/f629bba8-e2ef-4d1c-8f64-339879289a6d.jpg?1783904329|https://cards.scryfall.io/normal/front/6/6/66f569e1-5a37-4801-be01-9c5d44a82427.jpg?1783906138"
"mma-16","Elspeth, Knight-Errant Emblem","Emblem — Elspeth","","","","Artifacts, creatures, enchantments, and lands you control have indestructible.","https://cards.scryfall.io/normal/front/0/1/014c0557-11b8-49da-8486-0dd14b919338.jpg?1783939950","","https://cards.scryfall.io/normal/front/6/a/6a62619f-a432-4314-b018-7eacda9252a7.jpg?1783934209|https://cards.scryfall.io/normal/front/8/3/8360fc12-57c0-4701-8e19-0878ed5abb4f.jpg?1783939382"
"ecl-5","Faerie","Token Creature — Faerie","1","1","BU","Flying","https://cards.scryfall.io/normal/front/0/1/01524db2-c96f-4902-8394-bc7a7128e573.jpg?1783904325","",""
"shm-6","Spider","Token Creature — Spider","1","2","G","Reach","https://cards.scryfall.io/normal/front/7/d/7df0de51-8d05-475a-832e-de8a0f60849e.jpg?1783942699","","https://cards.scryfall.io/normal/front/a/3/a351094c-2315-4e95-89ed-16a1866f67cb.jpg?1783906796|https://cards.scryfall.io/normal/front/3/6/362fb82b-d1ea-471f-be0a-cc2c0c600fd1.jpg?1783907967|https://cards.scryfall.io/normal/front/f/4/f4c74e1e-5ea5-4915-9c11-cb589e86cc00.jpg?1783909272|https://cards.scryfall.io/normal/front/8/5/858dec67-4839-45ce-91c9-85709b392c07.jpg?1783909752"
"vow-20","Chandra, Dressed to Kill Emblem","Emblem","","","","Whenever you cast a red spell, this emblem deals X damage to any target, where X is the amount of mana spent to cast that spell.","https://cards.scryfall.io/normal/front/0/1/01783a68-4f61-43ff-94ef-eb0eae654cb7.jpg?1783924690","","https://cards.scryfall.io/normal/front/c/8/c8437d0b-e4f9-4986-be20-ecd9bf238730.jpg?1783907962"
"gtc-3","Frog Lizard","Token Creature — Frog Lizard","3","3","G","","https://cards.scryfall.io/normal/front/b/9/b938d2e0-7e90-4f57-b363-5c68a6207d6c.jpg?1783940147","","https://cards.scryfall.io/normal/front/4/2/42e98a20-325e-476f-8297-cbe8e09d85b2.jpg?1783903571|https://cards.scryfall.io/normal/front/0/1/018e138e-adef-45db-ae2a-31f0c98658ed.jpg?1783906798|https://cards.scryfall.io/normal/front/4/8/48c184d8-159a-47e3-8107-c7e7c5788e1d.jpg?1783909753|https://cards.scryfall.io/normal/front/4/b/4b059b47-374e-4745-aaac-2130ce70219a.jpg?1783913612"
"tsr-7","Giant","Token Creature — Giant","4","4","R","","https://cards.scryfall.io/normal/front/0/1/0197284c-3c17-438b-a46d-83131d56c768.jpg?1783927695","",""
"ugl-89","Pegasus","Token Creature — Pegasus","1","1","W","Flying","https://cards.scryfall.io/normal/front/b/c/bc944579-b6d8-40f7-8c46-146513960d61.jpg?1783946415","","https://cards.scryfall.io/normal/front/e/b/ebd8f43d-7e54-46d4-9fe9-ac818a9fd91f.jpg?1783918579|https://cards.scryfall.io/normal/front/d/d/dd1b0ed9-a4c0-4c58-978a-918ca266c699.jpg?1783922324|https://cards.scryfall.io/normal/front/0/1/01a2a64d-088a-4340-a129-6338cdf90203.jpg?1783928086|https://cards.scryfall.io/normal/front/f/1/f1e1d6b9-e1a2-4c26-981a-507bc895be8e.jpg?1783932834"
"c14-23","Elf Druid","Token Creature — Elf Druid","1","1","G","{T}: Add {G}.","https://cards.scryfall.io/normal/front/0/1/01b1f130-2e12-4e57-876b-fc81619ff01f.jpg?1783938794","","https://cards.scryfall.io/normal/front/3/4/348b9211-e189-4c62-abdd-9778cfb84e16.jpg?1783915249|https://cards.scryfall.io/normal/front/4/5/458f44dd-83f1-497e-b5d0-e3417eb9dfec.jpg?1783936172"
"blb-11","Darkstar Augur","Token Creature — Bat Warlock","1","1","B","Flying At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. (This token's mana cost is {2}{B}.)","https://cards.scryfall.io/normal/front/0/1/01b55966-0910-484d-9b2b-0a59233c44c4.jpg?1783909771","",""
"p04-5","Beast","Token Creature — Beast","3","3","G","","https://cards.scryfall.io/normal/front/d/0/d02d5670-fff3-4011-8e45-e6843e4e8988.jpg?1783944458","","https://cards.scryfall.io/normal/front/4/2/4296d26c-3ba6-49e8-986c-76f875a0498c.jpg?1783902813|https://cards.scryfall.io/normal/front/6/2/62facbb8-1a83-4731-b515-0f7759ee8c3b.jpg?1783902808|https://cards.scryfall.io/normal/front/5/8/5871be0a-0fd6-441d-8f9e-76c66b5bd8bc.jpg?1783903572|https://cards.scryfall.io/normal/front/3/b/3b584d93-5681-4ecd-953c-5ef58307caab.jpg?1783905793"
"one-3","Phyrexian Goblin","Token Creature — Phyrexian Goblin","1","1","R","","https://cards.scryfall.io/normal/front/3/6/3663e79b-2bf9-44af-a638-c0ad9067d8d4.jpg?1783918169","","https://cards.scryfall.io/normal/front/0/1/01e437a1-6d74-4006-8598-06284444c837.jpg?1783908582"
"mor-2","Faerie Rogue","Token Creature — Faerie Rogue","1","1","B","Flying","https://cards.scryfall.io/normal/front/1/6/1666cae8-8750-4091-8e45-259e76268db9.jpg?1783942773","","https://cards.scryfall.io/normal/front/0/9/096cbccf-cd00-49d6-9885-54ba68667c27.jpg?1783906763|https://cards.scryfall.io/normal/front/d/6/d680c3f1-a3c0-4f38-8958-2402612c8dd1.jpg?1783914993|https://cards.scryfall.io/normal/front/5/5/55998d0d-b169-4e1b-a9e2-a2ea75b4bbf0.jpg?1783921679|https://cards.scryfall.io/normal/front/0/1/01e6b701-d7a4-400d-b5f1-b6ef725248d1.jpg?1783929248|https://cards.scryfall.io/normal/front/0/d/0dce18f1-0eff-4354-97b8-cb58295f4865.jpg?1783931631|https://cards.scryfall.io/normal/front/1/a/1aceb1db-c48f-4985-a0b8-132fe12a5021.jpg?1783931630|https://cards.scryfall.io/normal/front/7/d/7df94cc3-fed3-493d-9aa5-c85d6a2aeb05.jpg?1783931628"
"m20-11","Chandra, Awakened Inferno Emblem","Emblem","","","","At the beginning of your upkeep, this emblem deals 1 damage to you.","https://cards.scryfall.io/normal/front/7/7/775f2b3e-4e3b-4037-b7bb-117ababf8e51.jpg?1783932854","","https://cards.scryfall.io/normal/front/0/2/02347c41-407f-4388-9d9b-263ddf8b4e11.jpg?1783915228"
"fic-4","Bird","Token Creature — Bird","1","1","U","Flying, vigilance","https://cards.scryfall.io/normal/front/0/2/023cebe4-ebe4-4398-9fd7-d3507660040a.jpg?1783906141","",""
"lrw-9","Elf Warrior","Token Creature — Elf Warrior","1","1","G","","https://cards.scryfall.io/normal/front/2/7/27b171ac-b2ef-4a80-92d1-6d9e71f3e3ca.jpg?1783942838","","https://cards.scryfall.io/normal/front/2/9/29e9326a-a435-44c7-939a-8da6ed3c4510.jpg?1783904334|https://cards.scryfall.io/normal/front/3/1/315c45f4-7bc9-45d5-bbf5-2533cf80af60.jpg?1783908587|https://cards.scryfall.io/normal/front/1/e/1e050305-6f8b-4261-a4b4-c9fa1dc99b0f.jpg?1783915230|https://cards.scryfall.io/normal/front/0/2/023f668a-a8e6-4fcb-98d1-30adf343f050.jpg?1783916056|https://cards.scryfall.io/normal/front/e/c/ecbfc4bf-56be-4275-b36b-c2c57f93ad15.jpg?1786455868|https://cards.scryfall.io/normal/front/1/2/120ecded-7968-4bb9-ab85-9cc5ad031e0e.jpg?1785224594|https://cards.scryfall.io/normal/front/e/9/e9db3b46-a9cf-4221-830a-dbed7ad76ead.jpg?1786455971"
"mkm-5","Skeleton","Token Creature — Skeleton","2","1","B","","https://cards.scryfall.io/normal/front/0/2/02404852-5788-4adb-b2dc-98bf705d8d96.jpg?1783912608","",""
"rna-7","Ooze","Token Creature — Ooze","2","2","G","","https://cards.scryfall.io/normal/front/0/2/0260e0ae-bf09-430a-a449-c16219d84b63.jpg?1783933602","","https://cards.scryfall.io/normal/front/c/2/c2fc764f-d5fe-452a-8474-5ad380048faf.jpg?1783904019|https://cards.scryfall.io/normal/front/7/8/786e11b0-1b63-4243-a16d-e75caebe20d7.jpg?1783909272"
"pip-8","Settlement","Token Enchantment — Aura","","","G","Enchant Land Enchanted land has ""{T}: Add one mana of any color.""","https://cards.scryfall.io/normal/front/0/2/02789d01-f939-4515-a6e4-db6aff36f893.jpg?1783912044","",""
"neo-14","Mechtitan","Token Legendary Artifact Creature — Construct","10","10","BGRUW","Mechtitan is all colors. Flying, vigilance, trample, lifelink, haste","https://cards.scryfall.io/normal/front/0/2/0281825d-9d38-4b56-b522-a8d3cf8c77c9.jpg?1783923710","",""
"pr2-7","Dragon","Token Creature — Dragon","5","5","R","Flying","https://cards.scryfall.io/normal/front/5/6/56c0fa29-fbcb-41fe-94ab-a39b1154c99b.jpg?1783945173","","https://cards.scryfall.io/normal/front/a/9/a9f4584c-fd86-4370-a85b-a989d20f3925.jpg?1783906802|https://cards.scryfall.io/normal/front/a/5/a5d4dd3b-0a5f-4d2c-aa6b-3c47e71e8c39.jpg?1783908588|https://cards.scryfall.io/normal/front/5/7/57b8e825-eef6-4d37-892a-6e28597679ee.jpg?1783911125|https://cards.scryfall.io/normal/front/f/a/faee2063-b47e-4342-af98-0037b3e8e80f.jpg?1783915259"
"ktk-12","Sarkhan, the Dragonspeaker Emblem","Emblem — Sarkhan","","","","At the beginning of your draw step, draw two additional cards. At the beginning of your end step, discard your hand.","https://cards.scryfall.io/normal/front/9/d/9d0430bc-5b7e-431e-a8d0-168f679fe79c.jpg?1783939035","","https://cards.scryfall.io/normal/front/0/2/02a68eab-27bc-434b-b19d-316d1db9434c.jpg?1783918571"
"lrw-10","Wolf","Token Creature — Wolf","2","2","G","","https://cards.scryfall.io/normal/front/0/2/02a80dc2-0811-4df0-95f1-dd80ce9e24de.jpg?1783942837","","https://cards.scryfall.io/normal/front/e/0/e07312b9-f3c1-4e36-88fc-b29cde581eb6.jpg?1785497932|https://cards.scryfall.io/normal/front/8/9/89b89a55-3ea2-4186-b946-06831bc16169.jpg?1783907965|https://cards.scryfall.io/normal/front/e/7/e7fcf482-2241-4263-acf8-3c34a498bfd5.jpg?1783909751|https://cards.scryfall.io/normal/front/3/e/3e79f075-f663-4a23-8a56-2aa6164d23f6.jpg?1783913131|https://cards.scryfall.io/normal/front/c/1/c1ffdaf6-472e-46be-a74a-4be985b29df4.jpg?1783911040"
"shm-3","Rat","Token Creature — Rat","1","1","B","","https://cards.scryfall.io/normal/front/1/a/1a85fe9d-ef18-46c4-88b0-cf2e222e30e4.jpg?1783942699","","https://cards.scryfall.io/normal/front/3/b/3b69ac36-617d-4e55-a625-0e6f0d0dfbd3.jpg?1783904004|https://cards.scryfall.io/normal/front/0/2/02c73185-3062-4801-8ab2-5006b9c3b232.jpg?1783906806|https://cards.scryfall.io/normal/front/5/c/5cad84b0-2bbf-479c-ae46-f725892d04d1.jpg?1783908589|https://cards.scryfall.io/normal/front/d/3/d32015d8-9441-4ba6-a59d-a2b6d9f0979c.jpg?1783909756"
"mpr-3","Elephant","Token Creature — Elephant","3","3","G","","https://cards.scryfall.io/normal/front/5/4/540a3b26-ca61-46c6-9e75-981cae435b2e.jpg?1783945636","","https://cards.scryfall.io/normal/front/e/2/e2030e94-c186-4b7d-9924-6d53440244fe.jpg?1783902813|https://cards.scryfall.io/normal/front/e/9/e96f22c0-b9c8-418a-8224-e7d0b2841bd2.jpg?1783902808|https://cards.scryfall.io/normal/front/6/e/6ecb6655-2aa0-4622-ae9a-21dfffa7625e.jpg?1783907678|https://cards.scryfall.io/normal/front/f/0/f0a8841d-1d2d-429f-a14d-bb2251dbf898.jpg?1783909753"
"fin-24","Sephiroth, One-Winged Angel Emblem","Emblem","","","","Whenever a creature dies, target opponent loses 1 life and you gain 1 life.","https://cards.scryfall.io/normal/front/0/3/03165625-1cb9-4e7b-85be-df400adc4487.jpg?1783906129","","https://cards.scryfall.io/normal/front/4/1/4129b132-ad42-4cdb-a2fd-0a5b69f203ac.jpg?1783906427"
"eve-1","Goat","Token Creature — Goat","0","1","W","","https://cards.scryfall.io/normal/front/9/0/90f67615-8a09-4ab9-9927-899a15e72c03.jpg?1783942653","","https://cards.scryfall.io/normal/front/7/2/72387c9a-e50b-4606-a3e1-b640b9eaaf6c.jpg?1783902813|https://cards.scryfall.io/normal/front/f/a/fa815976-a443-4d8b-acd5-cd3b5202654e.jpg?1783902809|https://cards.scryfall.io/normal/front/a/8/a8d85b98-8390-412f-9542-2f1e2890235d.jpg?1783903576|https://cards.scryfall.io/normal/front/8/7/878dd055-646a-4552-a316-8f71226258d4.jpg?1783906810"
"zen-10","Snake","Token Creature — Snake","1","1","G","","https://cards.scryfall.io/normal/front/8/3/83a6a142-f065-4a74-9a73-8105be29bc94.jpg?1783942176","","https://cards.scryfall.io/normal/front/4/b/4bfc751d-af71-49ff-a8b2-0d3a20eb136a.jpg?1783907688|https://cards.scryfall.io/normal/front/2/6/26614a86-55df-48d2-bb88-9a2895a33458.jpg?1783912614|https://cards.scryfall.io/normal/front/5/e/5e7de554-9d1b-4ab0-abee-1a11d105db81.jpg?1783921134|https://cards.scryfall.io/normal/front/d/6/d66113d5-0a11-44bc-9de7-fc662e4dd26a.jpg?1783925226"
"lci-17","Map","Token Artifact — Map","","","","{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)","https://cards.scryfall.io/normal/front/6/4/64839118-09d2-4645-9d3c-f80755ac781f.jpg?1783913603","","https://cards.scryfall.io/normal/front/0/3/03516d49-0613-46f7-8d88-3bf26d2c8659.jpg?1783911684"
"c15-23","Spirit","Token Enchantment Creature — Spirit","*","*","BW","This creature's power and toughness are each equal to the number of experience counters you have.","https://cards.scryfall.io/normal/front/0/3/03553980-53fa-4256-b478-c7e0e73e2b5b.jpg?1783938017","",""
"grn-7","Ral, Izzet Viceroy Emblem","Emblem — Ral","","","","Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.","https://cards.scryfall.io/normal/front/0/3/03580d3a-4c02-4f2e-b667-f82028ccde0b.jpg?1783934061","","https://cards.scryfall.io/normal/front/1/8/18a2790c-0dcd-4564-bd5e-7d453d1c4edf.jpg?1783934207"
