id,name,type_line,power,toughness,colors,text,image
"scd-7","Pegasus","Token Creature — Pegasus","1","1","W","Flying","https://cards.scryfall.io/normal/front/e/b/ebd8f43d-7e54-46d4-9fe9-ac818a9fd91f.jpg?1783918579"
"cmm-32","Elf Druid","Token Creature — Elf Druid","1","1","G","{T}: Add {G}.","https://cards.scryfall.io/normal/front/3/4/348b9211-e189-4c62-abdd-9778cfb84e16.jpg?1783915249"
"blb-11","Darkstar Augur","Token Creature — Bat Warlock","1","1","B","Flying At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. (This token's mana cost is {2}{B}.)","https://cards.scryfall.io/normal/front/0/1/01b55966-0910-484d-9b2b-0a59233c44c4.jpg?1783909771"
"msc-11","Beast","Token Creature — Beast","3","3","G","","https://cards.scryfall.io/normal/front/4/2/4296d26c-3ba6-49e8-986c-76f875a0498c.jpg?1783902813"
"fdn-31","Phyrexian Goblin","Token Creature — Phyrexian Goblin","1","1","R","","https://cards.scryfall.io/normal/front/0/1/01e437a1-6d74-4006-8598-06284444c837.jpg?1783908582"
"twoc-11","Faerie Rogue","Token Creature — Faerie Rogue","1","1","B","Flying","https://cards.scryfall.io/normal/front/0/9/096cbccf-cd00-49d6-9885-54ba68667c27.jpg?1783906763"
"cmm-78","Chandra, Awakened Inferno Emblem","Emblem","","","","At the beginning of your upkeep, this emblem deals 1 damage to you.","https://cards.scryfall.io/normal/front/0/2/02347c41-407f-4388-9d9b-263ddf8b4e11.jpg?1783915228"
"fic-4","Bird","Token Creature — Bird","1","1","U","Flying, vigilance","https://cards.scryfall.io/normal/front/0/2/023cebe4-ebe4-4398-9fd7-d3507660040a.jpg?1783906141"
"sld-7170","Elf Warrior","Token Creature — Elf Warrior","1","1","G","","https://cards.scryfall.io/normal/front/e/c/ecbfc4bf-56be-4275-b36b-c2c57f93ad15.jpg?1784715740"
"mkm-5","Skeleton","Token Creature — Skeleton","2","1","B","","https://cards.scryfall.io/normal/front/0/2/02404852-5788-4adb-b2dc-98bf705d8d96.jpg?1783912608"
"tmc-1","Ooze","Token Creature — Ooze","2","2","G","","https://cards.scryfall.io/normal/front/c/2/c2fc764f-d5fe-452a-8474-5ad380048faf.jpg?1783904019"
"pip-8","Settlement","Token Enchantment — Aura","","","G","Enchant Land Enchanted land has ""{T}: Add one mana of any color.""","https://cards.scryfall.io/normal/front/0/2/02789d01-f939-4515-a6e4-db6aff36f893.jpg?1783912044"
"neo-14","Mechtitan","Token Legendary Artifact Creature — Construct","10","10","BGRUW","Mechtitan is all colors. Flying, vigilance, trample, lifelink, haste","https://cards.scryfall.io/normal/front/0/2/0281825d-9d38-4b56-b522-a8d3cf8c77c9.jpg?1783923710"
"tdc-14","Dragon","Token Creature — Dragon","5","5","R","Flying","https://cards.scryfall.io/normal/front/a/9/a9f4584c-fd86-4370-a85b-a989d20f3925.jpg?1783906802"
"scd-27","Sarkhan, the Dragonspeaker Emblem","Emblem — Sarkhan","","","","At the beginning of your draw step, draw two additional cards. At the beginning of your end step, discard your hand.","https://cards.scryfall.io/normal/front/0/2/02a68eab-27bc-434b-b19d-316d1db9434c.jpg?1783918571"
"inr-18","Wolf","Token Creature — Wolf","2","2","G","","https://cards.scryfall.io/normal/front/8/9/89b89a55-3ea2-4186-b946-06831bc16169.jpg?1783907965"
"tmt-6","Rat","Token Creature — Rat","1","1","B","","https://cards.scryfall.io/normal/front/3/b/3b69ac36-617d-4e55-a625-0e6f0d0dfbd3.jpg?1783904004"
"msc-12","Elephant","Token Creature — Elephant","3","3","G","","https://cards.scryfall.io/normal/front/e/2/e2030e94-c186-4b7d-9924-6d53440244fe.jpg?1783902813"
"fin-24","Sephiroth, One-Winged Angel Emblem","Emblem","","","","Whenever a creature dies, target opponent loses 1 life and you gain 1 life.","https://cards.scryfall.io/normal/front/0/3/03165625-1cb9-4e7b-85be-df400adc4487.jpg?1783906129"
"msc-6","Goat","Token Creature — Goat","0","1","W","","https://cards.scryfall.io/normal/front/7/2/72387c9a-e50b-4606-a3e1-b640b9eaaf6c.jpg?1783902813"
"pl25-2","Snake","Token Creature — Snake","1","1","G","","https://cards.scryfall.io/normal/front/4/b/4bfc751d-af71-49ff-a8b2-0d3a20eb136a.jpg?1783907688"
"big-7","Map","Token Artifact — Map","","","","{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)","https://cards.scryfall.io/normal/front/0/3/03516d49-0613-46f7-8d88-3bf26d2c8659.jpg?1783911684"
"c15-23","Spirit","Token Enchantment Creature — Spirit","*","*","BW","This creature's power and toughness are each equal to the number of experience counters you have.","https://cards.scryfall.io/normal/front/0/3/03553980-53fa-4256-b478-c7e0e73e2b5b.jpg?1783938017"
"grn-7","Ral, Izzet Viceroy Emblem","Emblem — Ral","","","","Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.","https://cards.scryfall.io/normal/front/0/3/03580d3a-4c02-4f2e-b667-f82028ccde0b.jpg?1783934061"
"ecc-3","Zombie","Token Creature — Zombie","2","2","B","","https://cards.scryfall.io/normal/front/1/7/17f001ab-514b-49e7-a657-b2872ad7a1de.jpg?1783904333"
"tuma-11","Soldier","Token Creature — Soldier","1","1","R","","https://cards.scryfall.io/normal/front/d/f/dfb0ae06-9a02-4cd6-bc1d-423662d7a1bd.jpg?1783903464"
"txln-1","Vampire","Token Creature — Vampire","1","1","W","Lifelink (Damage dealt by this creature also causes you to gain that much life.)","https://cards.scryfall.io/normal/front/1/c/1c9ace77-f1e7-4abf-beb3-369febda9394.jpg?1783913141"
"otc-4","Bird Illusion","Token Creature — Bird Illusion","1","1","U","Flying","https://cards.scryfall.io/normal/front/9/5/95970f74-0f28-4d81-9fbd-cb49f5d5eebc.jpg?1783911685"
"dsc-22","Insect","Token Creature — Insect","1","1","BG","","https://cards.scryfall.io/normal/front/f/1/f120bca2-9ecf-429a-bc01-ba29729e19c9.jpg?1783909269"
"tdm-11","Dragon","Token Creature — Dragon","4","4","R","Flying","https://cards.scryfall.io/normal/front/4/3/434c2965-82b8-4e89-bf45-a8fc093f9a21.jpg?1783906784"
"bfz-5","Knight Ally","Token Creature — Knight Ally","2","2","W","","https://cards.scryfall.io/normal/front/0/4/0419a202-6e32-4f0a-a032-72f6c00cae5e.jpg?1783938120"
"msc-2","Shapeshifter","Token Creature — Shapeshifter","3","2","","Changeling (This token is every creature type.)","https://cards.scryfall.io/normal/front/0/4/049048af-9945-4b73-9aa3-7f09bf4c22b3.jpg?1783902814"
"fin-35","Wizard","Token Creature — Wizard","0","1","B","Whenever you cast a noncreature spell, this token deals 1 damage to each opponent.","https://cards.scryfall.io/normal/front/0/4/04ae24bf-0b24-4996-afae-7bf9f9d7471c.jpg?1783906124"
"ecc-10","Elemental","Token Creature — Elemental","*","*","GW","This creature's power and toughness are each equal to the number of creatures you control.","https://cards.scryfall.io/normal/front/7/e/7ec88cb2-7a77-45ae-b2c8-f8d09452d619.jpg?1783904328"
"m3c-24","Construct","Token Artifact Creature — Construct","6","12","","Trample","https://cards.scryfall.io/normal/front/8/c/8c87f559-55e4-4cce-bff4-6a07565d7e5f.jpg?1783911121"
"sld-1908","Shapeshifter","Token Creature — Shapeshifter","2","2","U","Changeling (This token is every creature type.)","https://cards.scryfall.io/normal/front/0/5/052a742b-e602-406f-82af-4ee36cf1e291.jpg?1783906681"
"fdn-28","Cat Beast","Token Creature — Cat Beast","2","2","W","","https://cards.scryfall.io/normal/front/3/2/322ef76e-e0f0-48d7-a6ad-5d4c1c9ccb2e.jpg?1783908585"
"sos-5","Fractal","Token Creature — Fractal","0","0","GU","","https://cards.scryfall.io/normal/front/8/b/8b5f1fdb-04df-4224-acb4-7819c37565f5.jpg?1783903564"
"acr-7","The Capitoline Triad Emblem","Emblem","","","","Creatures you control have base power and toughness 9/9.","https://cards.scryfall.io/normal/front/0/5/05402b51-8cf9-4f69-aa12-8a9d5981f8b1.jpg?1783910885"
"hob-12","Treasure","Token Artifact — Treasure","","","","{T}, Sacrifice this token: Add one mana of any color.","https://cards.scryfall.io/normal/front/c/6/c6e096bb-ad9e-4a8b-8b42-26852fa32c1d.jpg?1783902770"
"tdc-16","Elemental","Token Creature — Elemental","1","1","R","","https://cards.scryfall.io/normal/front/4/a/4ace3018-7d6e-4b77-9487-f280fd723d12.jpg?1783906801"
"f17-10","Vampire // Treasure","Token Creature — Vampire // Token Artifact — Treasure","","","","","https://cards.scryfall.io/normal/front/0/5/05934d59-7e98-4fff-8ccb-70cd1a61c6fd.jpg?1783936802"
"acr-3","Human Rogue","Token Creature — Human Rogue","1","1","W","","https://cards.scryfall.io/normal/front/0/5/05946b39-0b54-4f63-b521-4d5deb238541.jpg?1783910886"
"dmr-3","Cat","Token Creature — Cat","2","1","B","","https://cards.scryfall.io/normal/front/0/5/05a61555-ddb9-4d55-b637-a219d772033d.jpg?1783918316"
"mkc-13","Lightning Rager","Token Creature — Elemental","5","1","R","Trample, haste At the beginning of the end step, sacrifice this creature.","https://cards.scryfall.io/normal/front/8/2/8292126c-a7b4-40d3-8a08-f15dd871207d.jpg?1783912616"
"wwk-1","Soldier Ally","Token Creature — Soldier Ally","1","1","W","","https://cards.scryfall.io/normal/front/0/5/05abf2df-833f-4172-af74-6533b022dfa9.jpg?1783942070"
"msc-21","Bird","Token Creature — Bird","1","1","W","Flying","https://cards.scryfall.io/normal/front/4/5/456832f6-60b5-46d7-b37e-4fb44e60e792.jpg?1783902809"
"msh-4","Soldier","Token Creature — Soldier","1","1","W","","https://cards.scryfall.io/normal/front/5/e/5ef2f34e-0ff2-4157-9d4a-73ecf4cd449b.jpg?1783902804"
"khc-2","Kithkin Soldier","Token Creature — Kithkin Soldier","1","1","W","","https://cards.scryfall.io/normal/front/0/6/064ce217-2a93-41ae-b26a-e80cbb2353e4.jpg?1783928085"
"sld-2421","Goblin","Token Creature — Goblin","1","1","R","","https://cards.scryfall.io/normal/front/0/9/09faad62-42ff-4e37-b8a5-d8e8a0f6d096.jpg?1783903425"
"tmh3-2","Eldrazi Spawn","Token Creature — Eldrazi Spawn","0","1","","Sacrifice this creature: Add {C}.","https://cards.scryfall.io/normal/front/c/7/c74a7492-ed7b-4037-aa5c-bcfabe4c8951.jpg?1783903463"
"msc-9","Rogue","Token Creature — Rogue","2","2","B","","https://cards.scryfall.io/normal/front/0/6/064dec90-75ae-4afe-a5d5-a878e9fd9f34.jpg?1783902813"
"40k-13","Cherubael","Token Legendary Creature — Demon","4","4","B","Flying","https://cards.scryfall.io/normal/front/0/6/065e30fe-03e5-4558-8f41-42992b07712e.jpg?1783920663"
"mma-1","Giant Warrior","Token Creature — Giant Warrior","5","5","W","","https://cards.scryfall.io/normal/front/c/1/c1a41d0d-aaf5-4cb4-a9db-07992c57e436.jpg?1783939955"
"tdc-5","Human","Token Creature — Human","1","1","W","","https://cards.scryfall.io/normal/front/5/0/5054bb15-ddd5-4e5e-a9fd-6bdf255f7fd3.jpg?1783906807"
"eoc-6","Beast","Token Creature — Beast","4","4","G","","https://cards.scryfall.io/normal/front/e/b/eb243b20-85e6-4eba-9403-42272975e8a5.jpg?1783905790"
"cmm-63","Human Warrior","Token Creature — Human Warrior","1","1","W","","https://cards.scryfall.io/normal/front/0/d/0d88db82-009a-4371-a91e-9083b561e80f.jpg?1783915238"
"fdn-8","Drake","Token Creature — Drake","2","2","U","Flying","https://cards.scryfall.io/normal/front/f/4/f4a73034-e20f-4e7e-ac15-3460b1e9c69b.jpg?1783908592"
"soc-25","Spirit","Token Creature — Spirit","3","2","RW","","https://cards.scryfall.io/normal/front/5/a/5a9c5b21-c770-4fc0-b205-d96862e6be3e.jpg?1783903567"
"dmu-17","Cat Warrior","Token Creature — Cat Warrior","2","2","G","Forestwalk","https://cards.scryfall.io/normal/front/d/8/d886263e-9f46-4389-a543-947d6e51cb1a.jpg?1783921125"
"sld-2180","Blood","Token Artifact — Blood","","","","{1}, {T}, Discard a card, Sacrifice this token: Draw a card.","https://cards.scryfall.io/normal/front/6/b/6b563165-b97f-42c6-82a8-65d8ee69e381.jpg?1783905165"
"woe-3","Knight","Token Creature — Knight","2","2","W","Vigilance","https://cards.scryfall.io/normal/front/f/4/f4035134-a162-4651-86c5-ae006b6e0e20.jpg?1783914992"
"soc-26","Worm","Token Creature — Worm","1","1","BG","","https://cards.scryfall.io/normal/front/9/f/9f5ddcda-dcf0-468d-a5db-011e1b6ccab1.jpg?1783903567"
"cmm-38","Graveborn","Token Creature — Graveborn","3","1","BR","Haste","https://cards.scryfall.io/normal/front/0/7/07ab0fbc-293e-4917-9792-fdc9b512713d.jpg?1783915244"
"akh-14","Unwavering Initiate","Token Creature — Zombie Human Warrior","3","2","W","Vigilance","https://cards.scryfall.io/normal/front/0/7/07ab720d-40fc-4315-bc8d-c7073cea588b.jpg?1783936412"
"m3c-14","Ape","Token Creature — Ape","3","3","G","","https://cards.scryfall.io/normal/front/4/b/4b2ee605-3c7a-4769-978d-3199bdc7c504.jpg?1783911125"
"sld-1852","Spirit","Token Creature — Spirit","1","1","","","https://cards.scryfall.io/normal/front/3/e/3e55bca3-43a3-44a8-b673-b1d0cf3f203f.jpg?1783908450"
"tmt-10","Robot","Token Artifact Creature — Robot","1","1","","","https://cards.scryfall.io/normal/front/0/8/08497fc5-1c0e-4c3c-a356-bf4b34bd4c45.jpg?1783904001"
"scd-12","Demon","Token Creature — Demon","*","*","B","Flying","https://cards.scryfall.io/normal/front/2/c/2c0e7faf-43cb-4a96-ac3c-9533f957ee28.jpg?1783918577"
"bro-4","Construct","Token Artifact Creature — Construct","2","2","","","https://cards.scryfall.io/normal/front/0/8/087ab398-474f-4455-bef4-ea42c6913486.jpg?1783919909"
"pip-22","Radiation","Card","","","","At the beginning of your precombat main phase, if you have any rad counters, mill that many cards. For each nonland card milled this way, you lose 1 life and a rad counter.","https://cards.scryfall.io/normal/front/0/8/0886657d-afb0-4f1f-9af7-960724793077.jpg?1783912038"
"dsc-2","Angel","Token Creature — Angel","4","4","W","Flying","https://cards.scryfall.io/normal/front/b/b/bb6d0a6a-3007-47fc-a42c-3db311c9c41f.jpg?1783909277"
"tdc-11","Timeless Witness","Token Creature — Zombie Human Shaman","4","4","B","When Timeless Witness enters the battlefield, return target card from your graveyard to your hand.","https://cards.scryfall.io/normal/front/0/9/0902163b-9a92-4df3-afdd-396db24c7fd4.jpg?1783906803"
"msc-30","Construct","Token Artifact Creature — Construct","4","4","","Flying, haste","https://cards.scryfall.io/normal/front/0/9/0910f9ee-755f-4a94-a2ab-20df2d7f7f27.jpg?1783902806"
"moc-41","Replicated Ring","Token Snow Artifact","","","","{T}: Add one mana of any color.","https://cards.scryfall.io/normal/front/0/9/092bc98e-cca1-4d8e-bcde-074621280fed.jpg?1783916642"
"bbd-4","Zombie Giant","Token Creature — Zombie Giant","5","5","B","","https://cards.scryfall.io/normal/front/b/e/be7e26e1-5db6-49ba-a88e-c79d889cd364.jpg?1783934653"
"inr-27","Wrenn and Seven Emblem","Emblem","","","","You have no maximum hand size.","https://cards.scryfall.io/normal/front/0/9/09890a52-06f6-4f43-954c-64af3578abe3.jpg?1783907963"
"30a-16","Wasp","Token Artifact Creature — Insect","1","1","","Flying","https://cards.scryfall.io/normal/front/0/9/09921372-126f-4c81-b6d8-ea50b1d0eb44.jpg?1783919200"
"eoc-3","Bird","Token Creature — Bird","2","2","U","Flying","https://cards.scryfall.io/normal/front/2/a/2a3d4bf9-2107-4686-8df5-cd7c934d0691.jpg?1783905793"
"bro-2","Bear","Token Creature — Bear","2","2","G","","https://cards.scryfall.io/normal/front/7/7/772dac39-269b-4a35-aad3-320279af833f.jpg?1783919910"
"cmm-62","Cleric","Token Enchantment Creature — Cleric","2","1","W","","https://cards.scryfall.io/normal/front/0/a/0a72ad3d-8660-4be4-9f9b-7d2f6b8ee82b.jpg?1783915236"
"otj-5","Spirit","Token Creature — Spirit","2","2","W","Flying","https://cards.scryfall.io/normal/front/8/c/8c15b18b-1ab1-44e9-b96f-c36d52f11ea0.jpg?1783911528"
"bng-3","Soldier","Token Enchantment Creature — Soldier","1","1","W","","https://cards.scryfall.io/normal/front/6/6/66f90245-fa63-48b2-a20a-8a6f00dd5853.jpg?1783939516"
"tmkc-12","Kobolds of Kher Keep","Token Creature — Kobold","0","1","R","","https://cards.scryfall.io/normal/front/9/4/94f8d753-a796-4b99-bd37-087dd5f9cd97.jpg?1783903467"
"cm2-13","Pentavite","Token Artifact Creature — Pentavite","1","1","","Flying","https://cards.scryfall.io/normal/front/b/6/b6571af0-80e2-474b-a8b1-d3d90e954d2b.jpg?1783934658"
"mom-23","Wrenn and Realmbreaker Emblem","Emblem","","","","You may play lands and cast permanent spells from your graveyard.","https://cards.scryfall.io/normal/front/0/a/0aa8ebb6-26dc-41eb-ae40-47c8e7b040a6.jpg?1783916662"
"m3c-27","Garruk, Apex Predator Emblem","Emblem — Garruk","","","","Whenever a creature attacks you, it gets +5/+5 and gains trample until end of turn.","https://cards.scryfall.io/normal/front/3/1/31745fa9-5f11-490f-8dba-a5033a604bc0.jpg?1783911121"
"tori-7","Ashaya, the Awoken World","Token Legendary Creature — Elemental","4","4","G","","https://cards.scryfall.io/normal/front/2/c/2c3775c8-2d3d-47b0-b262-8b86d649c087.jpg?1783913138"
"eoc-7","Elemental","Token Creature — Elemental","5","3","G","","https://cards.scryfall.io/normal/front/0/b/0b0229d7-8635-4509-b141-12787af32855.jpg?1783905790"
"2xm-28","Tuktuk the Returned","Token Artifact Creature — Goblin Golem","5","5","","Tuktuk the Returned is legendary.","https://cards.scryfall.io/normal/front/c/7/c7e7822b-f155-4f3f-b835-ec64f3a71307.jpg?1783930224"
"tla-13","Ballistic Boulder","Token Artifact Creature — Construct","2","1","","Flying","https://cards.scryfall.io/normal/front/0/b/0b1b8ff0-0b1e-4a55-a937-fde7ec15c41a.jpg?1783904745"
"msh-14","Squirrel","Token Creature — Squirrel","1","1","G","","https://cards.scryfall.io/normal/front/f/d/fd0474f3-682d-4c6d-b902-84f3250aa269.jpg?1783902800"
"moc-21","Zombie Knight","Token Creature — Zombie Knight","2","2","B","Menace (This creature can't be blocked except by two or more creatures.)","https://cards.scryfall.io/normal/front/1/b/1b514e92-dbb1-4d58-92b4-6347de53a90b.jpg?1783916647"
"soc-28","Thopter","Token Artifact Creature — Thopter","1","1","","Flying","https://cards.scryfall.io/normal/front/b/9/b9d38c75-c69f-45cd-a745-03ac7513491b.jpg?1783903566"
"arb-3","Dragon","Token Creature — Dragon","1","1","GR","Flying, devour 2","https://cards.scryfall.io/normal/front/0/b/0bb628da-a02f-4d3e-b919-0c03821dd5f2.jpg?1783942408"
"drc-12","Construct","Token Artifact Creature — Construct","4","4","","","https://cards.scryfall.io/normal/front/0/b/0bf43942-6814-4b31-9705-fd16336ed5ef.jpg?1783907672"
"shm-9","Elemental","Token Creature — Elemental","5","5","BR","","https://cards.scryfall.io/normal/front/0/c/0c5afb0a-a158-4995-881e-eae0f20805a6.jpg?1783942698"
"tdc-29","Gold","Token Artifact — Gold","","","","Sacrifice this token: Add one mana of any color.","https://cards.scryfall.io/normal/front/6/0/603fa82c-173d-4bbc-95e5-5a3d027679c4.jpg?1783906794"
"clb-9","Boo","Token Legendary Creature — Hamster","1","1","R","Trample, haste","https://cards.scryfall.io/normal/front/0/d/0d0475e9-68ae-4553-a5ef-650091e04967.jpg?1783922320"
"fdn-4","Knight","Token Creature — Knight","3","3","W","","https://cards.scryfall.io/normal/front/0/d/0d287806-07bb-4709-9260-b9ef34fe2a13.jpg?1783908592"
"m21-16","Basri Ket Emblem","Emblem","","","","At the beginning of combat on your turn, create a 1/1 white Soldier creature token, then put a +1/+1 counter on each creature you control.","https://cards.scryfall.io/normal/front/0/d/0d37b555-5931-4084-8f83-e9853e14eccf.jpg?1783930588"
"lcc-6","Vampire","Token Creature — Vampire","1","1","B","Lifelink","https://cards.scryfall.io/normal/front/8/d/8d2ea7d8-a807-472e-a35f-976fe44de054.jpg?1783913614"
"neo-8","Goblin Shaman","Token Creature — Goblin Shaman","2","2","R","Whenever this creature attacks, create a Treasure token.","https://cards.scryfall.io/normal/front/0/d/0d9461c3-f545-4efb-926e-759961db0495.jpg?1783923713"
"ecl-12","Oko, Shadowmoor Scion Emblem","Emblem","","","","Creatures you control of the chosen type get +3/+3 and have vigilance and hexproof.","https://cards.scryfall.io/normal/front/0/d/0d9d6611-bc46-4fc1-8e39-460f56236ceb.jpg?1783904323"
"msc-4","Angel","Token Creature — Angel","4","4","W","Flying, vigilance","https://cards.scryfall.io/normal/front/7/5/75378703-7c80-4a4b-87ef-203eb74edc21.jpg?1783902816"
"ecc-5","Plant","Token Creature — Plant","0","1","G","","https://cards.scryfall.io/normal/front/3/d/3db07715-d315-4361-8af5-ce68d20e6c08.jpg?1783904331"
"cmm-51","Daretti, Scrap Savant Emblem","Emblem — Daretti","","","","Whenever an artifact is put into your graveyard from the battlefield, return that card to the battlefield at the beginning of the next end step.","https://cards.scryfall.io/normal/front/6/4/64ace1f4-51b5-4a6a-a730-859717efbd6d.jpg?1783915242"
"cmm-81","Narset of the Ancient Way Emblem","Emblem","","","","Whenever you cast a noncreature spell, this emblem deals 2 damage to any target.","https://cards.scryfall.io/normal/front/c/6/c6ea709d-2470-4552-92b3-25d617155e51.jpg?1783915227"
"tdc-12","Dragon Egg","Token Creature — Dragon Egg","0","2","R","Defender When this creature dies, create a 2/2 red Dragon creature token with flying and ""{R}: This creature gets +1/+0 until end of turn.""","https://cards.scryfall.io/normal/front/4/3/435577cb-a8b6-4795-a301-92128a68d070.jpg?1783906804"
"inr-13","Elemental","Token Creature — Elemental","*","*","R","Trample This creature's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.","https://cards.scryfall.io/normal/front/0/e/0e99650f-a153-4a80-86d8-8fd2c3f19d85.jpg?1783907969"
"uma-13","Elemental","Token Creature — Elemental","4","4","G","","https://cards.scryfall.io/normal/front/f/e/fea0857b-0f9e-4a87-83d7-85723e33f26c.jpg?1783933879"
